SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,WINNER
EUROPE WEST,150,246,268,15,497,62,107,119,114,350,24,80,112,29,432,350,119,777,78,429,BLUE,RED,BLUE,RED,RED
EUROPE WEST,114,254,79,498,497,555,-1,-1,103,41,240,78,55,15,26,157,432,777,119,350,BLUE,RED,RED,RED,RED
EUROPE WEST,150,78,517,523,888,432,119,555,55,24,887,234,429,13,79,92,117,62,103,131,RED,RED,BLUE,RED,BLUE
EUROPE WEST,79,80,4,18,235,517,20,350,122,421,24,2,432,202,147,517,421,67,119,163,BLUE,RED,BLUE,BLUE,RED
EUROPE WEST,122,80,517,96,432,67,350,20,29,104,79,421,163,429,497,39,200,78,119,26,BLUE,RED,BLUE,BLUE,BLUE
EUROPE WEST,777,64,163,895,40,119,350,58,15,429,86,120,7,81,432,203,1,360,55,164,RED,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,79,147,107,15,497,350,40,114,119,166,238,80,517,50,53,350,163,55,-1,119,RED,BLUE,RED,RED,BLUE
EUROPE WEST,67,254,7,429,40,-1,29,38,119,-1,157,78,711,30,111,163,-1,24,517,350,BLUE,BLUE,RED,RED,RED
EUROPE WEST,887,131,777,895,40,147,429,119,38,350,85,234,61,523,888,266,429,-1,147,200,BLUE,RED,BLUE,BLUE,RED
EUROPE WEST,85,62,91,67,43,107,163,350,7,119,240,64,517,360,89,119,55,80,86,887,RED,RED,BLUE,RED,RED
EUROPE WEST,17,80,59,30,22,78,266,235,28,421,887,104,55,221,412,29,119,555,141,429,BLUE,RED,BLUE,RED,RED
EUROPE WEST,92,72,8,157,12,119,55,114,246,555,58,78,43,15,32,429,555,119,166,200,RED,RED,RED,RED,RED
EUROPE WEST,150,80,103,51,432,119,-1,78,350,429,59,121,26,15,60,163,119,111,107,777,RED,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,114,30,163,81,40,107,200,121,15,147,2,141,268,119,111,23,895,360,-1,350,RED,RED,BLUE,BLUE,RED
EUROPE WEST,887,104,127,429,555,141,895,38,78,84,777,234,45,202,432,203,29,38,119,157,RED,RED,RED,RED,RED
EUROPE WEST,200,102,103,81,43,887,35,421,245,350,164,78,268,429,888,127,350,119,887,141,BLUE,RED,RED,RED,BLUE
EUROPE WEST,516,234,163,15,37,141,429,122,119,-1,223,121,112,81,350,91,114,221,888,429,BLUE,RED,BLUE,BLUE,RED
EUROPE WEST,69,107,245,236,267,888,119,200,41,84,17,78,13,81,350,119,131,28,429,15,RED,RED,RED,BLUE,RED
EUROPE WEST,50,131,80,236,267,107,517,111,119,200,777,76,711,429,89,78,119,200,887,163,RED,RED,BLUE,RED,RED
EUROPE WEST,8,80,777,15,89,23,78,200,28,119,19,131,166,110,40,163,119,150,517,238,RED,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,113,60,31,15,43,62,119,163,166,429,126,30,221,21,350,111,55,84,166,38,BLUE,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,58,104,55,119,44,117,29,517,166,268,92,245,518,221,16,163,166,429,555,887,RED,RED,BLUE,RED,RED
EUROPE WEST,24,78,7,221,16,91,429,555,141,122,113,59,55,119,53,15,-1,23,163,166,BLUE,RED,BLUE,RED,RED
EUROPE WEST,887,234,55,236,267,895,119,350,421,166,85,254,103,429,53,200,15,163,23,166,RED,RED,BLUE,BLUE,RED
EUROPE WEST,113,106,38,895,43,4,166,107,119,555,41,131,126,222,57,350,29,555,40,238,RED,RED,BLUE,RED,RED
EUROPE WEST,58,62,84,81,101,166,895,163,15,432,39,56,517,145,111,38,119,429,163,246,BLUE,RED,BLUE,BLUE,BLUE
EUROPE WEST,113,254,112,895,40,429,114,15,29,246,58,234,163,119,526,5,888,166,28,111,RED,RED,BLUE,RED,RED
EUROPE WEST,150,76,238,202,555,119,166,421,350,895,157,60,163,81,888,350,246,131,62,58,RED,RED,BLUE,RED,RED
EUROPE WEST,157,60,163,29,888,895,246,119,62,58,126,131,150,147,235,-1,421,555,166,107,RED,RED,RED,RED,RED
EUROPE WEST,79,427,157,145,111,55,7,-1,888,887,85,5,268,15,432,40,350,166,429,119,BLUE,RED,RED,RED,RED
EUROPE WEST,58,154,268,119,12,166,107,29,40,246,420,254,245,15,117,887,84,111,23,78,BLUE,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,85,154,39,429,888,50,412,166,119,-1,79,200,84,81,432,163,78,895,350,266,BLUE,RED,BLUE,BLUE,BLUE
EUROPE WEST,106,254,163,119,40,28,78,122,350,114,58,62,45,110,412,38,429,80,350,166,RED,RED,BLUE,RED,RED
EUROPE WEST,85,121,157,81,432,7,-1,119,166,203,122,107,84,523,412,200,429,117,40,24,RED,RED,RED,RED,RED
EUROPE WEST,150,2,147,81,37,429,-1,166,246,103,92,78,163,360,53,-1,107,119,114,429,RED,BLUE,RED,BLUE,BLUE
EUROPE WEST,887,78,350,221,147,84,163,200,166,154,516,141,517,15,555,429,122,119,62,7,RED,RED,RED,BLUE,BLUE
EUROPE WEST,122,254,13,895,888,40,23,141,429,350,887,421,7,15,432,78,429,166,119,163,BLUE,RED,BLUE,BLUE,BLUE
EUROPE WEST,516,64,112,119,888,62,887,555,28,246,150,78,238,15,143,24,200,895,163,40,BLUE,BLUE,RED,RED,BLUE
EUROPE WEST,113,200,101,895,111,166,29,887,84,141,59,104,7,81,43,119,78,350,555,429,RED,BLUE,BLUE,BLUE,BLUE
EUROPE WEST,79,200,98,15,101,114,84,887,147,350,2,131,238,30,267,-1,16,114,-1,147,RED,BLUE,RED,BLUE,BLUE
EUROPE WEST,24,234,517,523,432,-1,141,114,62,15,85,64,84,429,888,107,200,-1,350,62,RED,BLUE,BLUE,BLUE,BLUE
