MATCH_ID,BSUM1_ID,BSUM1_CHAMP_ID,BSUM2_ID,BSUM2_CHAMP_ID,BSUM3_ID,BSUM3_CHAMP_ID,BSUM4_ID,BSUM4_CHAMP_ID,BSUM5_ID,BSUM5_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RSUM1_CHAMP_ID,RSUM2_ID,RSUM2_CHAMP_ID,RSUM3_ID,RSUM3_CHAMP_ID,RSUM4_ID,RSUM4_CHAMP_ID,RSUM5_ID,RSUM5_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
EUW1_6001811167,0AZy9ZPtWQh6Vx8Kq7OvFy4UrZwrJACKWYJs-E6rzV4cizM,150,xh8g794rjw2i3e2OFWyH8NLvm9U94qaGNIAvSZUTDC9-BJRL,246,9T_e3hPA8BJJkJ-VGvGVJWR24xPZ0yyY5aGTOIKl95Cd6h8g,268,7Fa7S45GBBFAvaW3BGMq4AJpClEZ61ZamQCUPYjGAgBkxRg,15,FygyISn3sodmzfAOYhDXYwmXxwH27oT_MvyJjiDbZnRv-eU,497,62,107,119,114,350,nLFPyn3xRVkSzwFLweOPI2pOddUJDS7Q0KvzynL5tnevHuyE,24,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,tw_85mtBm8Zj7yRJpRihCrOg9o1GkBs8_sDDPeNPrYyPnuE,112,5TzP8F8IwEyBRzVAy96PBVOdj5HpEe4klwKPPvOM2Lu6hYo,29,tUyXI2Og22wZN9Rs-Lnpr0lVZGCjht9d83z3GtFStuHeVFs5,432,350,119,777,78,429,BLUE,20,27,RED,0,3,BLUE,1,0,RED,2,4,NONE,0,0,NONE,0,0,RED
EUW1_6001677114,o02MjualoBd8c2L1Nu2ZRjnhkt_ne-Yx2iYRZkhd3uDKsY4,114,CaqfcvprY1V7DVI5sfOJP5Vc3luQoyshL8AemHrvh43qUQw,254,puPeQuN3cAKued6EAm3b5gd6Al11zyzbm32lGMki4yemKt2x,79,jWysZe-gwuPtokIJR-NI8cCCG-GninDNH-TpdxiJ9r-ZaxA,498,CREBE7QYXxAJ-gIWtvBB02ijKHQXu4oW_a4zsgWdasIJWB4,497,555,-1,-1,103,41,xPd3PTaN8ILFRVPeGlFYvVN4ypgn1R4sGbbGRNEpZ5GRYGc,240,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,1kEw9DJGl62-FQuWfS8gUL7BjnEYAfFbhvukzxUApdXxsMI,55,7Fa7S45GBBFAvaW3BGMq4AJpClEZ61ZamQCUPYjGAgBkxRg,15,vs1FQyH49uVs6JKFnOgtzNqUEJuX6ztDmOF29_C1U1Arz5Y,26,157,432,777,119,350,BLUE,17,31,RED,0,2,RED,0,1,RED,0,4,NONE,0,0,NONE,0,0,RED
EUW1_6001722049,lz7z9m2ZwFuDm0kSa-6SYXtXLFTLLLlWizzRxSyCgh-Msk0,150,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,_o_3E5f4P_CY9ztsrbdkUPwVCg7hJ7TSAXHiEEsevv1bdVbI,517,YYnE90RJfzypVDAO_Qt8syFQwCwhunwTWEfidwcucoFPqtc,523,CREBE7QYXxAJ-gIWtvBB02ijKHQXu4oW_a4zsgWdasIJWB4,888,432,119,555,55,24,TdEEcOtUGViLZUnlEJEkOxu85gqw6ilvj30nBxf7No3Q6zbgXTbGW_22_g,887,11xjXFkLwvUPtXSFboyBeYNcDb9KZtpyEiM-ZDSE-meYvpQ,234,0OrvdaLZyVdLe0-h9tAjWrSz6jvmvVEdZuO69rcPXOrUevOhu8hccBvFKg,429,Ex8bjy7LrKxLFOREkfoP4zWxqoGLlMfBDEarookUAG3e1oI,13,puPeQuN3cAKued6EAm3b5gd6Al11zyzbm32lGMki4yemKt2x,79,92,117,62,103,131,RED,38,28,RED,2,2,BLUE,2,0,RED,5,8,RED,0,1,RED,1,2,BLUE
EUW1_6001557446,ZCHr8rokYRXJMJIUWzFcIehrJs6jShr0Zkc3aFJZ4xEiTfE,79,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,sO2INLctOSFuq_VBeqSjSAC6faH4PvvgZA3grfCOathsYUSH,4,hgowSBUFsyDNo-S2AshXWRF2xM_mOBktpCtV1Mw7K4sRIq0,18,Dw25s0DUtd1sGtP-FXV4F_2BIQalOmXoqvHh3MUgHBA1B_Wf,235,517,20,350,122,421,Yp9kCQ3SqtxY-dyRdyAm7i3zZgtduT21MlAjGPN_0NZ5tR9naj2BfnFMvw,24,ByZH3NbXW9dwwVLg10lGrmmwWBlDbwS5uKyOPzli60f-Jhvy,2,tUyXI2Og22wZN9Rs-Lnpr0lVZGCjht9d83z3GtFStuHeVFs5,432,Kp31eoRxldVqAMRh_aUXI_Im0LYIbl7tH21VavYgEfV8kUGw,202,YCb_518Ltri9NKKfWJm7Y1ggSug-m0brY89_K8PZV5FhzoA,147,517,421,67,119,163,BLUE,13,32,RED,0,3,BLUE,2,0,BLUE,6,4,RED,0,1,NONE,0,0,RED
EUW1_6001602687,Yp9kCQ3SqtxY-dyRdyAm7i3zZgtduT21MlAjGPN_0NZ5tR9naj2BfnFMvw,122,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,hIoSka6anKc6_WSUhIDk06K6JnZF5kz5JaeSaKeLIA0U8mHuBmxLzGkNLg,517,BgbTbMspKYR1yIsQjzW-e_bpn45fjAEcAPnAGX5dLfR6sao,96,Dw25s0DUtd1sGtP-FXV4F_2BIQalOmXoqvHh3MUgHBA1B_Wf,432,67,350,20,29,104,puPeQuN3cAKued6EAm3b5gd6Al11zyzbm32lGMki4yemKt2x,79,qmlmCB_fMQeFKS1XGfo9b9x3UhETaJDCjL8bvIqlWyodyus,421,acMBA1jvCGkv5uDlXQu7SCJ1j15mOt7-NzrohiRsaqfIy0w,163,8BeUR3TkWIUKqflUOs1qsy46TrImgHdvLfOx7teqrNWhYJLh,429,nNqKejJ8sFWpHM0B7TITVGhtYPh_xs0sm3VcMCAMAhJnOHI,497,39,200,78,119,26,BLUE,40,29,RED,2,2,BLUE,2,0,BLUE,7,2,NONE,0,0,BLUE,1,0,BLUE
EUW1_6001107586,6AwKHIi0-ZGGlMBSTJ_UV0GzSKGn69VyWZExmg-hukGMYw-V,777,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,64,8zY6D7jcaWO0fE97F--eV7LMGlgIZlWD9t7VPC3QJo6hlco-iHqdoiPL1A,163,LTSIM2UYc9xQQda2DWbLHKTxJ0KUzbhrCRPUdm_vW1JYEoU,895,AIwPV6qKIWaVOBEf1goS37LOXBi6s9GBtaZi22V-w_AEjum8-0kAuM6xpw,40,119,350,58,15,429,jRMfcOEkbFouFtZQaV6mEPYUN0A0R-ZBGKD-5B6vdPA4ok4,86,_--xoDpCKbKpKkeGXVrLW1CWWMMNxEw4tSr37Kp7R1EfGGs,120,K-lzdmVrR9uqxRyNUAygCRyeVhrcgbMzcScK2-63xgH2VSU,7,9T_e3hPA8BJJkJ-VGvGVJWR24xPZ0yyY5aGTOIKl95Cd6h8g,81,duqlrr86PmgeT9HkZZmWanUi2Q568nZpapSQLutL7xUENfc,432,203,1,360,55,164,RED,25,17,BLUE,2,0,BLUE,2,0,BLUE,8,1,BLUE,1,0,BLUE,2,0,BLUE
EUW1_6001081121,9jDWlsmQmP2alWxx92Rup0GgfSdMwDcRSB5aMQ89d_f7rNs,79,kbQrCBEBbv1uXR7anU_lw5o61YeLUB9JzexI2Z_n8lHYmutkIQDafb9Fiw,147,yyawWHfPeeaTBaj9dFcOc1rbyz1MOEP6KeGonPEVL3LBwU4tGTA_qhNLNA,107,YYnE90RJfzypVDAO_Qt8syFQwCwhunwTWEfidwcucoFPqtc,15,Dw25s0DUtd1sGtP-FXV4F_2BIQalOmXoqvHh3MUgHBA1B_Wf,497,350,40,114,119,166,jWysZe-gwuPtokIJR-NI8cCCG-GninDNH-TpdxiJ9r-ZaxA,238,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,K-lzdmVrR9uqxRyNUAygCRyeVhrcgbMzcScK2-63xgH2VSU,517,x6aAxxn9pWWX7MpKBMXrluVYTlNkqZQRtB-zuPKOADQOvtA,50,5LpQtqe_RB0ohN-rNzqsjHcQZCnIFnQN5Nnk_i8XvuSXKiqQ,53,350,163,55,-1,119,RED,39,37,BLUE,1,3,RED,0,2,RED,6,8,RED,1,1,RED,1,2,BLUE
EUW1_6000956997,SYDQx4At_U4fnAA-NCXqTXal6GrM7nus8u95VSdPFPia0JSv,67,WCcraRJ8siFOsMPHQULiTNs61kWxmQBCJlX1QK66rxPy9Fgb,254,K-lzdmVrR9uqxRyNUAygCRyeVhrcgbMzcScK2-63xgH2VSU,7,jWysZe-gwuPtokIJR-NI8cCCG-GninDNH-TpdxiJ9r-ZaxA,429,ZWrN1mI99SJM3tpf-UasnYwoHtbZR0KURM154rdEK2OLGIDW,40,-1,29,38,119,-1,72QFHiT3zJt_guSh7WzUERLtuM7FVkW-2K4cL2Ah4rBmHXg,157,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,fhuetj2ZUdyVzydmhGJwLLatSm-lX8Vp9ar4qeOeCUTGN4k,711,SPvcl8hhAxoF67Fyxd-NfBlg_DRxWvByXCEYnwiQu9GIOOk,30,_hqBqr6oi88XusiWg_U4O_K6jWeA9OlqNoO0OUeDZaf21cLX,111,163,-1,24,517,350,BLUE,13,20,BLUE,1,1,RED,0,2,RED,3,7,NONE,0,0,RED,0,1,RED
EUW1_6000162784,5XLtcq9XUVkFhSrREGM4tPtDp7MBjMunhXgwP94_mDwr2nk,887,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,131,6afTV20BC3WBAof5KqOBwu084NbHBv0jEX4EP2yzi_K8g_pN,777,zt3Ovfn1x7g1ONPF-zpK4ChQA4pEA6MPuQFW6ruPge16KncM8eob3jT9MQ,895,ZWrN1mI99SJM3tpf-UasnYwoHtbZR0KURM154rdEK2OLGIDW,40,147,429,119,38,350,QxFUhUsU-LmRm5kJ1zM-51PG3JTXpyMdvCS5MMzSdMb9AeM,85,XBddmYuomuaFFc9sxC-EupwhFvjX-CFoOV-x19MLAN54NhA,234,JfcXdbKW1u3ToW36W1loL2yNCn1U4kC7f0cfXdNFJEnqjVB4IAvCxolMSQ,61,xtU9bB7zjR_LTlMviDFZpYRMt6ttA9LcV81GjevYhoFxRvgK,523,T0dUuIjILL0RcoLYoDa3_mgf4tVbmpcOPGqFfF_eXpMVj50,888,266,429,-1,147,200,BLUE,9,24,RED,1,2,BLUE,1,1,BLUE,3,10,RED,0,1,RED,0,2,RED
EUW1_5999438676,hkuRDSgweb71so9V2sCxKdGckA2HdRGIxjUHenhtpq_l3N7V,85,jhpCuvT9WWRPBQdEBPbizkcR8jbPUKgsA4CwQg2qxJm8oQmQ,62,zT1czV3cyoF5FaGxgFRMPGXz2HPMczssjtjgtQWvdQEuP3Ww,91,Righ4rQy2Du-cN7XbqfTHfgqfji5wmpLckV9r-Y7vu55iFA,67,ridRR0K_6ydF16ttIJiaD86z_NCTJ4XzYOcqoxSzQkDQc-A,43,107,163,350,7,119,siawldMhkAfflk0Zmc176CylTpsdLL58tlMP8Zy3e68rqiG91HF-pN3OSw,240,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,64,an5tMnZLLgwU51wUDNhGO7paLLHeGqPqeCEiEgcW_QFzWOVtY1OqrdM-Eg,517,xP7HZ5YbtWUXCC-vg6Qiljc4fGsLoX8C2l1FFM8vpVjbfiM,360,duqlrr86PmgeT9HkZZmWanUi2Q568nZpapSQLutL7xUENfc,89,119,55,80,86,887,RED,14,30,RED,1,2,BLUE,1,1,RED,3,9,NONE,0,0,RED,0,1,RED
